"NO","CODE","BRAND","COLOR","SIZE","PRICE","REMARK","CATEGORY","GRADE"
"58","DKB-0057","CLOSE UP","MOTIF","M","50000","","DRESS KATUN","B"
"59","DKB-0058","LYNN","YELLOW","M","50000","","DRESS KATUN","B"
"63","DKB-0062","KHALITA","BLACK","M","50000","","DRESS KATUN","B"
"64","DKB-0063","KOREAN BRAND","NAVY","M","50000","","DRESS KATUN","B"
"66","DKB-0065","SORSA","NAVY","XL","50000","","DRESS KATUN","B"
"67","DKB-0066","XLO BRAND ","GREY","M","50000","","DRESS KATUN","B"
"68","DKB-0067","A.V.V STANDARD","GREY NAVY","M","50000","","DRESS KATUN","B"
"69","DKB-0068","W CLOSET WEARS INC","MOTIF","M","50000","","DRESS KATUN","B"
"70","DKB-0069","LBC","MOTIF","L","50000","","DRESS KATUN","B"
"71","DKB-0070","MAMMY LUNA ","MOTIF","M","50000","","DRESS KATUN","B"
"72","DKB-0071","ROPI PICNIC","BLACK","M","50000","","DRESS KATUN","B"
"73","DKB-0072","MIMI COLLECTION","MOTIF","XL","50000","","DRESS KATUN","B"
"74","DKB-0073","S_COLLECTION ","BLACK","S","50000","","DRESS KATUN","B"
"75","DKB-0074","BECKY","BLACK","S","50000","","DRESS KATUN","B"
"76","DKB-0075","HAPPY MAIL","MOTIF","M","50000","","DRESS KATUN","B"
"77","DKB-0076","VALLEY GIRL","PEACH","M","50000","","DRESS KATUN","B"
"78","DKB-0077","MIGNON","MOTIF","M","50000","","DRESS KATUN","B"
"79","DKB-0078","SLOBE","ARMY","M","50000","","DRESS KATUN","B"
"80","DKB-0079","ROSE TIARA","MOTIF","M","50000","","DRESS KATUN","B"
"83","DKB-0082","NICE CLAUP","GREY","M","50000","","DRESS KATUN","B"
"84","DKB-0083","PETITREITRE","NAVY","M","50000","","DRESS KATUN","B"
"85","DKB-0084","NO BRAND 16","MOTIF","M","50000","","DRESS KATUN","B"
"86","DKB-0085","ARTEMIS","GREY","M","50000","","DRESS KATUN","B"
"87","DKB-0086","SUPRE","TOSCA","XL","50000","","DRESS KATUN","B"
"88","DKB-0087","SANE'S ADDICTION","BLACK","M","50000","","DRESS KATUN","B"
"89","DKB-0088","AMY","MOTIF","M","50000","","DRESS KATUN","B"
"91","DKB-0090","90ANS","MOTIF","L","50000","","DRESS KATUN","B"
"92","DKB-0091","L'ESPORT","GREY","L","50000","","DRESS KATUN","B"
"93","DKB-0092","NO BRAND 18","MOTIF","S","50000","","DRESS KATUN","B"
"94","DKB-0093","TREND VIEW","WHITE","M","50000","","DRESS KATUN","B"
"95","DKB-0094","PLUS 2","STRIPE","M","50000","","DRESS KATUN","B"
"96","DKB-0095","SHOO LA FUE","GREY","M","50000","","DRESS KATUN","B"
"97","DKB-0096","DRUG STROR'S","GREY","M","50000","","DRESS KATUN","B"
"1","TFB-0000","NOW","pink","M","50000","","T'SHIRT FEMALE","B"
"2","TFB-0001","Anko","Mocca","M","50000","","T'SHIRT FEMALE","B"
"3","TFB-0002","GIVONI","Blue","M","50000","","T'SHIRT FEMALE","B"
"4","TFB-0003","CIRCUIT","Green white","M","50000","","T'SHIRT FEMALE","B"
"5","TFB-0004","Emerson","Blue","M","50000","","T'SHIRT FEMALE","B"
"6","TFB-0005","Anko","Black","M","50000","","T'SHIRT FEMALE","B"
"7","TFB-0006","Everyday","Black","XS","50000","","T'SHIRT FEMALE","B"
"8","TFB-0007","CINCIN","White","M","50000","","T'SHIRT FEMALE","B"
"9","TFB-0008","HOT ","pink stripe","M","50000","","T'SHIRT FEMALE","B"
"10","TFB-0009","Sara","Red","M","50000","","T'SHIRT FEMALE","B"
"11","TFB-0010","Assembly Label","White","M","50000","","T'SHIRT FEMALE","B"
"12","TFB-0011","anko","white","M","50000","","T'SHIRT FEMALE","B"
"13","TFB-0012","TITTY TWISTER","Orange","M","50000","","T'SHIRT FEMALE","B"
"14","TFB-0013","Favourites","orange","M","50000","","T'SHIRT FEMALE","B"
"15","TFB-0014","No Brand 1","Grey","M","50000","","T'SHIRT FEMALE","B"
"16","TFB-0015","Now","White","M","50000","","T'SHIRT FEMALE","B"
"17","TFB-0016","No Brand 2","Green","M","50000","","T'SHIRT FEMALE","B"
"18","TFB-0017","No Brand 3","Full Color","M","50000","","T'SHIRT FEMALE","B"
"19","TFB-0018","Sussan","Black","M","50000","","T'SHIRT FEMALE","B"
"20","TFB-0019","Millers","Green white","M","50000","","T'SHIRT FEMALE","B"
"21","TFB-0020","ACTIVE","pink","M","50000","","T'SHIRT FEMALE","B"
"22","TFB-0021","Sfera Basic","Blue Stripe","M","50000","","T'SHIRT FEMALE","B"
"23","TFB-0022","Ffafourites","Pink","M","50000","","T'SHIRT FEMALE","B"
"24","TFB-0023","DIVIDED","Pink","M","50000","","T'SHIRT FEMALE","B"
"25","TFB-0024","Suzannegrae","Tribal","M","50000","","T'SHIRT FEMALE","B"
"26","TFB-0025","sportgirls","navy","M","50000","","T'SHIRT FEMALE","B"
"27","TFB-0026","Suzannegrae","Blue","M","50000","","T'SHIRT FEMALE","B"
"28","TFB-0027","10","Blue","M","50000","","T'SHIRT FEMALE","B"
"29","TFB-0028","Seed","yellow stripe","M","50000","","T'SHIRT FEMALE","B"
"30","TFB-0029","Now","yellow","M","50000","","T'SHIRT FEMALE","B"
"31","TFB-0030","Country road","yellow","M","50000","","T'SHIRT FEMALE","B"
"32","TFB-0031","No Brand 4","Motif","M","50000","","T'SHIRT FEMALE","B"
"33","TFB-0032","Collection","White","M","50000","","T'SHIRT FEMALE","B"
"34","TFB-0033","Now ","pink","M","50000","","T'SHIRT FEMALE","B"
"35","TFB-0034","ANKO","black","M","50000","","T'SHIRT FEMALE","B"
"36","TFB-0035","target collection","Navy","M","50000","","T'SHIRT FEMALE","B"
"37","TFB-0036","Glassons","White","M","50000","","T'SHIRT FEMALE","B"
"38","TFB-0037","NBCF","Pink","M","50000","","T'SHIRT FEMALE","B"
"39","TFB-0038","Croline Morgan","peach","M","50000","","T'SHIRT FEMALE","B"
"40","TFB-0039","Now Essentials","Black","M","50000","","T'SHIRT FEMALE","B"
"41","TFB-0040","millers","navy","M","50000","","T'SHIRT FEMALE","B"
"42","TFB-0041","Portmans","black","S","50000","","T'SHIRT FEMALE","B"
"43","TFB-0042","Valleygirl","Black","M","50000","","T'SHIRT FEMALE","B"
"44","TFB-0043","Now","Navy","M","50000","","T'SHIRT FEMALE","B"
"45","TFB-0044","uniqlo","flower","S","50000","","T'SHIRT FEMALE","B"
"46","TFB-0045","12","blue","S","50000","","T'SHIRT FEMALE","B"
"47","TFB-0046","millers","blue","M","50000","","T'SHIRT FEMALE","B"
"48","TFB-0047","10","Black","M","50000","","T'SHIRT FEMALE","B"
"49","TFB-0048","Suzannegrae","White","M","50000","","T'SHIRT FEMALE","B"
"50","TFB-0049","T bar","White","M","50000","","T'SHIRT FEMALE","B"
"51","TFB-0050","Jeans west","White","M","50000","","T'SHIRT FEMALE","B"
"52","TFB-0051","No Brand 5","pink","M","50000","","T'SHIRT FEMALE","B"
"53","TFB-0052","rodonna","Navy","M","50000","","T'SHIRT FEMALE","B"
"54","TFB-0053","American Apparel","orange","M","50000","","T'SHIRT FEMALE","B"
"55","TFB-0054","Suzannegrae","White","M","50000","","T'SHIRT FEMALE","B"
"56","TFB-0055","rivers","black","M","50000","","T'SHIRT FEMALE","B"
"57","TFB-0056","true harmony","white","M","50000","","T'SHIRT FEMALE","B"
"58","TFB-0057","the fitted crew","pink","M","50000","","T'SHIRT FEMALE","B"
"59","TFB-0058","bub2b","black","M","50000","","T'SHIRT FEMALE","B"
"60","TFB-0059","supre","white","M","50000","","T'SHIRT FEMALE","B"
"61","TFB-0060","maggie","blue","M","50000","","T'SHIRT FEMALE","B"
"62","TFB-0061","18","Purple","M","50000","","T'SHIRT FEMALE","B"
"63","TFB-0062","GEORGE","pink","M","50000","","T'SHIRT FEMALE","B"
"64","TFB-0063","now ","white","M","50000","","T'SHIRT FEMALE","B"
"65","TFB-0064","anko","white","M","50000","","T'SHIRT FEMALE","B"
"66","TFB-0065","Sportage ","white","M","50000","","T'SHIRT FEMALE","B"
"67","TFB-0066","10","yellow","M","50000","","T'SHIRT FEMALE","B"
"68","TFB-0067","NOW","Black","M","50000","","T'SHIRT FEMALE","B"
"69","TFB-0068","Sportsgirl","White","M","50000","","T'SHIRT FEMALE","B"
"70","TFB-0069","anko","purple","M","50000","","T'SHIRT FEMALE","B"
"71","TFB-0070","the stretch tank","peach","M","50000","","T'SHIRT FEMALE","B"
"72","TFB-0071","No Brand 6","white","M","50000","","T'SHIRT FEMALE","B"
"73","TFB-0072","regatta","motif","M","50000","","T'SHIRT FEMALE","B"
"74","TFB-0073","No Brand 7","Motif","M","50000","","T'SHIRT FEMALE","B"
"75","TFB-0074","marcopolo","red","M","50000","","T'SHIRT FEMALE","B"
"76","TFB-0075","No Brand ","Navy","S","50000","","T'SHIRT FEMALE","B"
"77","TFB-0076","hollister","red","S","50000","","T'SHIRT FEMALE","B"
"78","TFB-0077","decjuba","black","S","50000","","T'SHIRT FEMALE","B"
"79","TFB-0078","the garden collection","peach","M","50000","","T'SHIRT FEMALE","B"
"80","TFB-0079","Jeanswest","motif","M","50000","","T'SHIRT FEMALE","B"
"81","TFB-0080","ICE FASHION","BLACK WHITE","M","50000","","T'SHIRT FEMALE","B"
"82","TFB-0081","ROCKMANS","BLUE WHITE","M","50000","","T'SHIRT FEMALE","B"
"83","TFB-0082","MAGIC OF CHRISTMAS","WHITE","S","50000","","T'SHIRT FEMALE","B"
"84","TFB-0083","NOW","BLUE, BLACK","S","50000","","T'SHIRT FEMALE","B"
"85","TFB-0084","WITCHERY","GREY","S","50000","","T'SHIRT FEMALE","B"
"86","TFB-0085","H&M","WHITE","M","50000","","T'SHIRT FEMALE","B"
"87","TFB-0086","ASANA","PINK","S","50000","","T'SHIRT FEMALE","B"
"88","TFB-0087","TRENERY","BLACK, WHITE","XXL","50000","","T'SHIRT FEMALE","B"
"89","TFB-0088","NO BRAND","BLACK WHITE","S","50000","CARDIGAN","T'SHIRT FEMALE","B"
"90","TFB-0089","TILI","BLUE, WHITE","M","50000","","T'SHIRT FEMALE","B"
"91","TFB-0090","FORTNITE","BLACK","M","50000","","T'SHIRT FEMALE","B"
"92","TFB-0091","ANKO","WHITE, BLACK","M","50000","","T'SHIRT FEMALE","B"
"93","TFB-0092","ANKO","WHITE, BLACK","XL","50000","","T'SHIRT FEMALE","B"
"94","TFB-0093","NO BRAND","BLACK, WHITE","XXL","50000","","T'SHIRT FEMALE","B"
"95","TFB-0094","CONNOR","GREY, BLACK","S","50000","CROP TOP","T'SHIRT FEMALE","B"
"96","TFB-0095","W-LANE","BLACK, WHITE","L","50000","","T'SHIRT FEMALE","B"
"97","TFB-0096","CLOTHING & CO","WHITE, BLACK","XL","50000","","T'SHIRT FEMALE","B"
"98","TFB-0097","OZEMOCEAN","LIGHT GREY","M","50000","","T'SHIRT FEMALE","B"
"99","TFB-0098","CLOTHING & CO","GREY","L","50000","","T'SHIRT FEMALE","B"
"100","TFB-0099","WITCHERY","WHITE, BLACK","M","50000","","T'SHIRT FEMALE","B"
"101","TFB-0100","ED IT ED","GREY","XXL","50000","","T'SHIRT FEMALE","B"
"102","TFB-0101","FEROTI SPORT","GREY","XL","50000","","T'SHIRT FEMALE","B"
"103","TFB-0102","NOW","GREY, WHITE","L","50000","","T'SHIRT FEMALE","B"
"104","TFB-0103","KATIES ESSENSIAL","LIGHT GREY","XL","50000","","T'SHIRT FEMALE","B"
"105","TFB-0104","STEDMAN","GREY","L","50000","","T'SHIRT FEMALE","B"
"106","TFB-0105","BIZ COLLECTION","BLUE","M","50000","","T'SHIRT FEMALE","B"
"107","TFB-0106","NOW","WHITE, BLACK","L","50000","","T'SHIRT FEMALE","B"
"108","TFB-0107","ANKO","BLACK, WHITE","XL","50000","","T'SHIRT FEMALE","B"
"109","TFB-0108","DANII MINOGUE","GREEN, WHITE","L","50000","","T'SHIRT FEMALE","B"
"110","TFB-0109","MIZAN SHOP","GREY","L","50000","","T'SHIRT FEMALE","B"
"111","TFB-0110","MISS SHOP","LIGHT GREY","L","50000","","T'SHIRT FEMALE","B"
"112","TFB-0111","NO BRAND","BLACK, WHITE","XXL","50000","","T'SHIRT FEMALE","B"
"113","TFB-0112","NO BRAND","LIGHT BLUE","XL","50000","","T'SHIRT FEMALE","B"
"114","TFB-0113","SOLS","GREY","XS","50000","","T'SHIRT FEMALE","B"
"115","TFB-0114","WINNING SPIRIT","NAVY","XS","50000","","T'SHIRT FEMALE","B"
"116","TFB-0115","MOTHER CHOICE","WHITE","S","50000","","T'SHIRT FEMALE","B"
"117","TFB-0116","KHOKO","BLACK, WHITE","M","50000","","T'SHIRT FEMALE","B"
"118","TFB-0117","NO BRAND","GREEN","S","50000","","T'SHIRT FEMALE","B"
"119","TFB-0118","SUSSAN","BLUE","M","50000","","T'SHIRT FEMALE","B"
"120","TFB-0119","JAY JAYS","PINK","M","50000","","T'SHIRT FEMALE","B"
"121","TFB-0120","ANNE KLEIN","MOTIF","M","50000","","T'SHIRT FEMALE","B"
"122","TFB-0121","SPORTSCRAFT","BLACK, WHITE","L","50000","","T'SHIRT FEMALE","B"
"123","TFB-0122","ALLY","WHITE, GREY","M","50000","CROP TOP","T'SHIRT FEMALE","B"
"124","TFB-0123","FACTORIE","RED","XS","50000","","T'SHIRT FEMALE","B"
"125","TFB-0124","COTTON ON","BLACK, WHITE","L","50000","","T'SHIRT FEMALE","B"
"126","TFB-0125","COUNTRY ROAD","MOTIF","XS","50000","","T'SHIRT FEMALE","B"
"127","TFB-0126","B COLLECTION","COLORFUL","M","50000","","T'SHIRT FEMALE","B"
"1","BSA-0000","CINEMA CLUB","STRIPE BLUE WHITE","M","","","BLOUSE SIFON","A"
"2","BSA-0001","OFUON","BLUE WHITE","M","","","BLOUSE SIFON","A"
"3","BSA-0002","BOU JELOUD","MOTIF","M","","","BLOUSE SIFON","A"
"4","BSA-0003","EARTH","HITAM POLKADIT","M","","","BLOUSE SIFON","A"
"5","BSA-0004","NO BRAND 1","NAVY","M","","","BLOUSE SIFON","A"
"6","BSA-0005","ARABI'S","NAVY","M","","","BLOUSE SIFON","A"
"7","BSA-0006","NO BRAND 2","MOTIF","M","","TRANPARANT","BLOUSE SIFON","A"
"8","BSA-0007","Q.C.X.X","MOTIF","M","","","BLOUSE SIFON","A"
"9","BSA-0008","ENEME","MOTIF","M","","","BLOUSE SIFON","A"
"10","BSA-0009","SUNKING","BLUE","M","","TRANSPARANT","BLOUSE SIFON","A"
"11","BSA-0010","ROPE PICNIC","BLACK","M","","","BLOUSE SIFON","A"
"12","BSA-0011","ANYSIS","BROWN","M","","","BLOUSE SIFON","A"
"13","BSA-0012","GROVE","NAVY POLKADOT","M","","","BLOUSE SIFON","A"
"14","BSA-0013","ROLLINA","STRIPE","M","","","BLOUSE SIFON","A"
"15","BSA-0014","ALPHABETS ALPHABET","CREAM","M","","","BLOUSE SIFON","A"
"16","BSA-0015","CUTIE BLONDE","NAVY MOTIF","M","","","BLOUSE SIFON","A"
"17","BSA-0016","FO 21","WHITE","M","","","BLOUSE SIFON","A"
"18","BSA-0017","UNIQLO","WHITE","M","","","BLOUSE SIFON","A"
"19","BSA-0018","Q.C.X.X","STRIPE","M","","","BLOUSE SIFON","A"
"20","BSA-0019","VIOPLE","NAVY","M","","","BLOUSE SIFON","A"
"21","BSA-0020","GU","WHITE","M","","","BLOUSE SIFON","A"
"22","BSA-0021","EARTH","WHITE","M","","","BLOUSE SIFON","A"
"23","BSA-0022","EARTH","WHITE","M","","SABRINA","BLOUSE SIFON","A"
"24","BSA-0023","MIGNOM","MOTIF","M","","","BLOUSE SIFON","A"
"25","BSA-0024","LADYS WEAR","NAVY POLKADOT","M","","","BLOUSE SIFON","A"
"26","BSA-0025","ALPHABETS ALPHABET","MOTIF","M","","","BLOUSE SIFON","A"
"27","BSA-0026","PURELAST","MOTIF","M","","","BLOUSE SIFON","A"
"28","BSA-0027","CIAO PANIC","NAVY POLKADOT","M","","TRANSPARANT","BLOUSE SIFON","A"
"29","BSA-0028","MADY II","CREAM","M","","","BLOUSE SIFON","A"
"30","BSA-0029","RAG OUT","BLACK","M","","","BLOUSE SIFON","A"
"31","BSA-0030","OPAQUE CLIP","MOCCA","M","","","BLOUSE SIFON","A"
"32","BSA-0031","JE CHI CHI","STRIPE","M","","TRANSPARANT","BLOUSE SIFON","A"
"33","BSA-0032","GU","NAVY POLKADOT","M","","","BLOUSE SIFON","A"
"34","BSA-0033","GLACIER","MOTIF","L","","TRANSPARANT","BLOUSE SIFON","A"
"35","BSA-0034","CARLRAGAZZE","BLUE STRIPE","M","","","BLOUSE SIFON","A"
"36","BSA-0035","ZARA BASIC","WHITE","L","","","BLOUSE SIFON","A"
"37","BSA-0036","MARQUISE","MOTIF","M","","","BLOUSE SIFON","A"
"38","BSA-0037","INGNI","MOTIFKOTAK","S","","","BLOUSE SIFON","A"
"39","BSA-0038","CLEAR IMPRESSION","BLACK POLKADOT","M","","","BLOUSE SIFON","A"
"40","BSA-0039","IEDIT PREMIUM","PEACH","M","","","BLOUSE SIFON","A"
"41","BSA-0040","SPRAY PREMIUM","WHITE BLACK","M","","","BLOUSE SIFON","A"
"42","BSA-0041","H.W.W","MOTIF","M","","","BLOUSE SIFON","A"
"43","BSA-0042","NO BRAND 3","MOTIF","M","","","BLOUSE SIFON","A"
"44","BSA-0043","MOCA","YELLOW","M","","","BLOUSE SIFON","A"
"45","BSA-0044","CALABAZA","MOTIF","M","","","BLOUSE SIFON","A"
"46","BSA-0045","PAGEBOY","MOTIF","M","","","BLOUSE SIFON","A"
"47","BSA-0046","LACIFONELLI ","MOTIF","XL","","TRANSPARANT","BLOUSE SIFON","A"
"48","BSA-0047","NO BRAND 4","MOTIF","M","","SIFON","BLOUSE SIFON","A"
"49","BSA-0048","NO BRAND 5","RED","M","","","BLOUSE SIFON","A"
"50","BSA-0049","NO BRAND 6","BROWN","M","","","BLOUSE SIFON","A"
"51","BSA-0050","UNIQLO","RED","XL","","","BLOUSE SIFON","A"
"52","BSA-0051","TOKYO JAPAN","BROWN FLOWE","XL","","","BLOUSE SIFON","A"
"53","BSA-0052","EAGLE","BLUE WHITE","XL","","","BLOUSE SIFON","A"
"54","BSA-0053","RESPIGHI","BROWN","M","","","BLOUSE SIFON","A"
"55","BSA-0054","LOEANO","YELLOW","M","","","BLOUSE SIFON","A"
"56","BSA-0055","NUSNUSN","GREEN","L","","","BLOUSE SIFON","A"
"57","BSA-0056","PURE LIEBE","YELLOW","M","","","BLOUSE SIFON","A"
"58","BSA-0057","NEW LOOK","RED","M","","","BLOUSE SIFON","A"
"59","BSA-0058","ON LOVE OFF","NAVY MOTIF","M","","","BLOUSE SIFON","A"
"60","BSA-0059","NO BRAND 7","PURPLE","M","","","BLOUSE SIFON","A"
"61","BSA-0060","NO BRAND 8","GREEN","XL","","","BLOUSE SIFON","A"
"62","BSA-0061","AN ","BLACK","M","","SABRINA ","BLOUSE SIFON","A"
"63","BSA-0062","OFB","NAVY","M","","LENGAN KIPAS ","BLOUSE SIFON","A"
"1","BSD-0000","LACIFONELLI","MOTIF","M","","","BLOUSE SIFON","B"
"2","BSD-0001","NO BRAND 1","MOTIF","M","","","BLOUSE SIFON","B"
"3","BSD-0002","AS KNOW","MOTIF","M","","","BLOUSE SIFON","B"
"4","BSD-0003","MOUTH VALLEY","MOTIF","M","","","BLOUSE SIFON","B"
"5","BSD-0004","KAE MEI","MOTIF","M","","","BLOUSE SIFON","B"
"6","BSD-0005","JEAN DORE","MOTIF","M","","","BLOUSE SIFON","B"
"7","BSD-0006","TOKYO BLOUSE","MOTIF","M","","","BLOUSE SIFON","B"
"8","BSD-0007","TOUR DOR","MOTIF","M","","","BLOUSE SIFON","B"
"9","BSD-0008","A.V.V STANDARD","MOTIF","M","","","BLOUSE SIFON","B"
"10","BSD-0009","CPA","MOTIF","M","","","BLOUSE SIFON","B"
"11","BSD-0010","FB COLLECTION","MOTIF","M","","","BLOUSE SIFON","B"
"12","BSD-0011","THE SHOP TK","MOTIF","M","","","BLOUSE SIFON","B"
"13","BSD-0012","AXES FEMME","MOTIF","M","","","BLOUSE SIFON","B"
"14","BSD-0013","JILL STUART","MOTIF","M","","","BLOUSE SIFON","B"
"15","BSD-0014","CLASSA","MOTIF","M","","","BLOUSE SIFON","B"
"16","BSD-0015","TALASSIO","MOTIF","M","","","BLOUSE SIFON","B"
"17","BSD-0016","GROWING RICH","MOTIF","S","","","BLOUSE SIFON","B"
"18","BSD-0017","DIVA","MOTIF","S","","","BLOUSE SIFON","B"
"19","BSD-0018","PURPLE RAIN","MOTIF","M","","","BLOUSE SIFON","B"
"20","BSD-0019","NO BRAND 2","MOTIF","S","","","BLOUSE SIFON","B"
"21","BSD-0020","VING TROIS","MOTIF","M","","","BLOUSE SIFON","B"
"22","BSD-0021","SAZUN FORK","MOTIF","M","","","BLOUSE SIFON","B"
"23","BSD-0022","CONOSOPHIA","MOTIF","M","","","BLOUSE SIFON","B"
"24","BSD-0023","MARSHMALLOW ROWN","MOTIF","M","","","BLOUSE SIFON","B"
"25","BSD-0024","SILVER KING","MOTIF","M","","","BLOUSE SIFON","B"
"26","BSD-0025","NO BRAND 3","MOTIF","M","","","BLOUSE SIFON","B"
"27","BSD-0026","MAYNARD DEUX","MOTIF","M","","","BLOUSE SIFON","B"
"28","BSD-0027","LODIS POTTO","MOTIF","M","","","BLOUSE SIFON","B"
"29","BSD-0028","NO BRAND 4","MOTIF","L","","","BLOUSE SIFON","B"
"30","BSD-0029","LING FEI FASHION","MOTIF","M","","","BLOUSE SIFON","B"
"31","BSD-0030","SPRAY PREMIUM","MOTIF","M","","","BLOUSE SIFON","B"
"32","BSD-0031","AXES FEMME","MOTIF","S","","","BLOUSE SIFON","B"
"33","BSD-0032","TOCO TOCO","MOTIF","M","","","BLOUSE SIFON","B"
"34","BSD-0033","GALFIT","MOTIF","M","","","BLOUSE SIFON","B"
"35","BSD-0034","NO BRAND 5","MOTIF","M","","","BLOUSE SIFON","B"
"36","BSD-0035","TAKASHIMAYA","MOTIF","M","","","BLOUSE SIFON","B"
"37","BSD-0036","NO BRAND 6","MOTIF","S","","TRANSPARANT","BLOUSE SIFON","B"
"38","BSD-0037","NO BRAND","MOTIF","S","","","BLOUSE SIFON","B"
"39","BSD-0038","g.u","MOTIF","S","","","BLOUSE SIFON","B"
"40","BSD-0039","AS KNOW AS ","MOTIF","M","","","BLOUSE SIFON","B"
"41","BSD-0040","GIGGLE","MOTIF","S","","TRANSPARANT","BLOUSE SIFON","B"
"42","BSD-0041","NOANNU","MOTIF","M","","","BLOUSE SIFON","B"
"43","BSD-0042","CAROLL","MOTIF","M","","","BLOUSE SIFON","B"
"44","BSD-0043","LACIFONELLI","MOTIF","M","","","BLOUSE SIFON","B"
"45","BSD-0044","AXES FEMME","MOTIF","M","","","BLOUSE SIFON","B"
"46","BSD-0045","NO BRAND 7","MOTIF","M","","","BLOUSE SIFON","B"
"47","BSD-0046","MAURICES","MOTIF","M","","","BLOUSE SIFON","B"
"48","BSD-0047","SUREVE","MOTIF","L","","","BLOUSE SIFON","B"
"49","BSD-0048","LIEBE","MOTIF","L","","","BLOUSE SIFON","B"
"50","BSD-0049","NAVY","MOTIF","M","","","BLOUSE SIFON","B"
"51","BSD-0050","NO BRAND 8","MOTIF","M","","TRANSPARANT","BLOUSE SIFON","B"
"52","BSD-0051","NO BRAND 9","MOTIF","M","","","BLOUSE SIFON","B"
"53","BSD-0052","LOC STYLE","MOTIF","M","","","BLOUSE SIFON","B"
"54","BSD-0053","CULOTES","MOTIF","M","","","BLOUSE SIFON","B"
"55","BSD-0054","LUNE MOIRE","MOTIF","M","","","BLOUSE SIFON","B"
"56","BSD-0055","QUEENS","MOTIF","L","","","BLOUSE SIFON","B"
"57","BSD-0056","MODERATE","MOTIF","L","","","BLOUSE SIFON","B"
"58","BSD-0057","LASCOLINAS","MOTIF","S","","","BLOUSE SIFON","B"
"59","BSD-0058","GIVORS","MOTIF","M","","","BLOUSE SIFON","B"
"60","BSD-0059","NATURAL COUTURE","MOTIF","M","","","BLOUSE SIFON","B"
"61","BSD-0060","SUNFELDU","MOTIF","M","","","BLOUSE SIFON","B"
"62","BSD-0061","NO BRAND 10","MOTIF","S","","","BLOUSE SIFON","B"
"63","BSD-0062","PRASH NOTES","MOTIF","L","","","BLOUSE SIFON","B"
"64","BSD-0063","NO BRAND 11","MOTIF","S","","","BLOUSE SIFON","B"
"65","BSD-0064","LUICHANTANT","MOTIF","S","","","BLOUSE SIFON","B"
"66","BSD-0065","LADIES WEAR","MOTIF","M","","","BLOUSE SIFON","B"
"67","BSD-0066","VIOPLE","MOTIF","M","","","BLOUSE SIFON","B"
"68","BSD-0067","TWO BY TWO","WHITE","M","","","BLOUSE SIFON","B"
"69","BSD-0068","MODEX","WHITE","M","","","BLOUSE SIFON","B"
"70","BSD-0069","SPICA","WHITE","M","","","BLOUSE SIFON","B"
"71","BSD-0070","HEATHER","WHITE","M","","","BLOUSE SIFON","B"
"72","BSD-0071","NO BRAND 11","WHITE","M","","","BLOUSE SIFON","B"
"73","BSD-0072","SAMANSA MOS2","WHITE","M","","","BLOUSE SIFON","B"
"74","BSD-0073","NO BRAND 12","WHITE","M","","","BLOUSE SIFON","B"
"75","BSD-0074","LE TIANS","WHITE","M","","","BLOUSE SIFON","B"
"76","BSD-0075","N,","WHITE","M","","","BLOUSE SIFON","B"
"77","BSD-0076","INGNI","WHITE","M","","","BLOUSE SIFON","B"
"78","BSD-0077","CECIL MC BEE","WHITE","M","","","BLOUSE SIFON","B"
"79","BSD-0078","NO BRAND 13","WHITE","S","","","BLOUSE SIFON","B"
